BKG_NO,BKG_DT,BKG_SHPR_CST_NO,BKG_SHPR_CST_ENM,ACT_SHPR_CST_ENM,POR_PLC_CD,POL_PORT_CD,POD_PORT_CD,DLY_PLC_CD,FRT_PNC_CD,TEU
IN00236442,20200101,AE2201,ARTH ENTERPRISE,ELKINS TRADELINK LTD,MUN,MUN,NBO,NBO,P,6
VN00519022,20200101,ASLV07,AS LOGISTICS,,SGN,SGN,SHK,SHK,P,6
VN00519023,20200101,CASV05,CHEER ASCENT VIETNAM CO.,LTD,,SGN,SGN,ISI,ISI,P,1
IN00236440,20200101,CL2601,CMANDHAR LOGISTICS PVT LTD.,CAFFIL PVT LTD,AMD,MUN,OSA,OSA,P,1
IN00236444,20200101,HBJP01,HUB & LINKS LOGISTICS INDIA PRIVATE L,RATAN ALUMINUM RECYCLING PV,PYL,MUN,NBO,NBO,P,2
IN00236446,20200101,IN0502,INDOMATRIX LOGISTICS PVT. LTD.  ,WOOLKON INDIA,LDH,MUN,HPH,HPH,P,1
IN00236436,20200101,JS0103,JSB CARGO MOVERS PVT. LTD.,MIRHA EXPORTS PVT. LTD. (PUNJA,LON,MUN,PKW,PKW,P,2
IN00236435,20200101,JS0103,JSB CARGO MOVERS PVT. LTD.,MIRHA EXPORTS PVT. LTD. (PUNJA,LON,MUN,PKW,PKW,P,2
SG00262050,20200101,KLPS07,KORCHINA LOGISTICS (SINGAPORE) PTE LTD,KLPS07,SIN,SIN,INC,INC,C,1
IN00236439,20200101,RAJ01I,RAJA AGENCIES,SUDHAN SPINNING MILLS P LTD,MAA,MAA,INC,INC,P,2
IN00236438,20200101,RAJ01I,RAJA AGENCIES,SUDHAN SPINNING MILLS P LTD,MAA,MAA,PUS,PUS,P,2
MY00375771,20200101,SOLM09,SEVEN OCEANS LINES (M) SDN BHD,LAM SOON EDIBLE OILS,PGU,PGU,PNC,PNC,P,1
IN00236433,20200101,TISCO1,TATA STEEL LIMITED,TATA STEEL LIMITED,VTZ,VTZ,NBO,NBO,P,54
IN00236434,20200101,TISCO1,TATA STEEL LIMITED,TATA STEEL LIMITED,VTZ,VTZ,NGO,NGO,P,5
IN00236437,20200101,VC4401,V-CARE LOGISTICS,ASAHI SONGWON COLORS LTD.,AMD,MUN,PNC,PNC,P,1
IN00236432,20200101,VE0602,VELOCITY EXPRESS LOGISTICS,UROLANA,LDH,MUN,PNC,PNC,P,1
IN00236445,20200101,YGL005,YES GLOBAL LOGISTICS,HIKAL LIMITED,NSA,NSA,YKK,YKK,P,1
IN00236527,20200102,00EXIM,EXIM PLANNERS & TRAVELS ,SIDDHARTH GREASE & LUBES PVT L,PTI,MUN,HPH,HPH,P,3
