ds,y
2016-12-25,2
2017-01-01,1
2017-01-08,2
2017-01-15,1
2017-01-22,4
2017-01-29,2
2017-02-05,2
2017-02-12,4
2017-02-19,2
2017-02-26,2
2017-03-05,1
2017-03-12,4
2017-03-19,1
2017-03-26,2
2017-04-02,2
2017-04-09,2
2017-04-16,3
2017-04-23,1
2017-04-30,4
2017-05-07,6
2017-05-14,3
2017-05-21,2
2017-05-28,2
2017-06-04,3
2017-06-11,2
2017-06-18,3
2017-06-25,5
2017-07-02,1
2017-07-09,1
2017-07-16,2
2017-07-23,3
2017-07-30,5
2017-08-06,3
2017-08-13,1
2017-08-20,5
2017-08-27,4
2017-09-03,1
2017-09-10,2
2017-09-17,2
2017-09-24,3
2017-10-01,4
2017-10-08,2
2017-10-15,5
2017-10-22,4
2017-10-29,5
2017-11-05,5
2017-11-12,2
2017-11-19,4
2017-11-26,6
2017-12-03,2
2017-12-10,2
2017-12-17,2
2017-12-24,4
2017-12-31,7
2018-01-07,10
2018-01-14,4
2018-01-21,5
2018-01-28,9
2018-02-04,10
2018-02-11,5
2018-02-18,7
2018-02-25,8
2018-03-04,5
2018-03-11,6
2018-03-18,4
2018-03-25,6
2018-04-01,3
2018-04-08,5
2018-04-15,8
2018-04-22,9
2018-04-29,4
2018-05-06,9
2018-05-13,7
2018-05-20,3
2018-05-27,9
2018-06-03,13
2018-06-10,4
2018-06-17,8
2018-06-24,10
2018-07-01,9
2018-07-08,7
2018-07-15,10
2018-07-22,7
2018-07-29,8
2018-08-05,13
2018-08-12,8
2018-08-19,12
2018-08-26,12
2018-09-02,7
2018-09-09,9
2018-09-16,9
2018-09-23,7
2018-09-30,11
2018-10-07,13
2018-10-14,11
2018-10-21,9
2018-10-28,9
2018-11-04,9
2018-11-11,11
2018-11-18,9
2018-11-25,9
2018-12-02,13
2018-12-09,13
2018-12-16,11
2018-12-23,13
2018-12-30,22
2019-01-06,19
2019-01-13,23
2019-01-20,26
2019-01-27,20
2019-02-03,27
2019-02-10,18
2019-02-17,26
2019-02-24,19
2019-03-03,21
2019-03-10,17
2019-03-17,28
2019-03-24,19
2019-03-31,18
2019-04-07,26
2019-04-14,28
2019-04-21,17
2019-04-28,23
2019-05-05,18
2019-05-12,20
2019-05-19,21
2019-05-26,22
2019-06-02,27
2019-06-09,25
2019-06-16,23
2019-06-23,23
2019-06-30,25
2019-07-07,25
2019-07-14,26
2019-07-21,23
2019-07-28,28
2019-08-04,29
2019-08-11,33
2019-08-18,23
2019-08-25,25
2019-09-01,24
2019-09-08,24
2019-09-15,26
2019-09-22,23
2019-09-29,27
2019-10-06,23
2019-10-13,31
2019-10-20,26
2019-10-27,26
2019-11-03,42
2019-11-10,33
2019-11-17,32
2019-11-24,28
2019-12-01,30
2019-12-08,23
2019-12-15,23
2019-12-22,21
2019-12-29,31
2020-01-05,49
2020-01-12,48
2020-01-19,50
2020-01-26,40
2020-02-02,45
2020-02-09,47
2020-02-16,55
2020-02-23,57
2020-03-01,52
2020-03-08,54
2020-03-15,51
2020-03-22,47
2020-03-29,49
2020-04-05,72
2020-04-12,61
2020-04-19,54
2020-04-26,51
2020-05-03,53
2020-05-10,45
2020-05-17,53
2020-05-24,46
2020-05-31,39
2020-06-07,36
2020-06-14,41
2020-06-21,50
2020-06-28,42
2020-07-05,42
2020-07-12,59
2020-07-19,50
2020-07-26,41
2020-08-02,48
2020-08-09,47
2020-08-16,68
2020-08-23,68
2020-08-30,70
2020-09-06,63
2020-09-13,58
2020-09-20,60
2020-09-27,51
2020-10-04,51
2020-10-11,54
2020-10-18,64
2020-10-25,41
2020-11-01,36
2020-11-08,50
2020-11-15,48
2020-11-22,42
2020-11-29,51
2020-12-06,47
2020-12-13,45
2020-12-20,39
2020-12-27,52
2021-01-03,64
2021-01-10,62
2021-01-17,62
2021-01-24,70
2021-01-31,62
2021-02-07,78
2021-02-14,51
2021-02-21,59
2021-02-28,100
2021-03-07,91
2021-03-14,79
2021-03-21,83
2021-03-28,79
2021-04-04,82
2021-04-11,74
2021-04-18,88
2021-04-25,68
2021-05-02,63
2021-05-09,62
2021-05-16,72
2021-05-23,61
2021-05-30,51
2021-06-06,64
2021-06-13,60
2021-06-20,84
2021-06-27,76
2021-07-04,77
2021-07-11,64
2021-07-18,74
2021-07-25,64
2021-08-01,71
2021-08-08,69
2021-08-15,69
2021-08-22,64
2021-08-29,63
2021-09-05,65
2021-09-12,57
2021-09-19,57
2021-09-26,57
2021-10-03,76
2021-10-10,85
2021-10-17,78
2021-10-24,59
2021-10-31,76
2021-11-07,81
2021-11-14,82
2021-11-21,75
2021-11-28,82
2021-12-05,74
2021-12-12,78
